code_region,code_region_cvt,code_type,code_type_cvt,code_theme,code_theme_cvt,code_penalty_fee_flag,code_penalty_fee_flag_cvt,fund_title,fund_init_dt,fund_init_amount,fund_type_lv1,fund_type_lv2,fund_operator,fund_commission,fund_tot_commission
AIN,국내투자,T20,국내주식형,,NA,,NA,ABLBest중소형증권자투자신탁[주식]Class A2,2009.06.17,184,주식형,중소형주식,ABL글로벌자산운용,1.00%,1.50%
AIN,국내투자,T20,국내주식형,,NA,,NA,ABLBest중소형증권자투자신탁[주식]Class C5,2006.01.13,143,주식형,중소형주식,ABL글로벌자산운용,없음,1.70%
AIN,국내투자,T20,국내주식형,ED106,인터넷전용,,NA,ABLBest중소형증권자투자신탁[주식]Class E,2009.06.17,33,주식형,중소형주식,ABL글로벌자산운용,없음,1.68%
AIN,국내투자,T20,국내주식형,,NA,,NA,ABLBest중소형증권자투자신탁[주식]ClassC(W),2006.01.13,26,주식형,중소형주식,ABL글로벌자산운용,없음,0.70%
AIN,국내투자,T20,국내주식형,,NA,,NA,ABLKOSPI200인덱스증권자투자신탁[주식_파생형]Class A,2002.03.08,49,주식형,K200인덱스,ABL글로벌자산운용,1.00%,0.43%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class A,2010.07.09,"4,792",해외채권형,글로벌채권,ABL글로벌자산운용,0.70%,0.90%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class A(E),2019.01.23,840,해외채권형,글로벌채권,ABL글로벌자산운용,0.35%,0.60%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class C,2010.06.25,"1,279",해외채권형,글로벌채권,ABL글로벌자산운용,없음,1.30%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class C(E),2012.10.30,617,해외채권형,글로벌채권,ABL글로벌자산운용,없음,1.10%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class C(W),2013.03.13,32,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.30%
AOUT,해외투자,T50,해외채권형,EG115,퇴직연금,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class P1,2011.02.09,551,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.60%
AOUT,해외투자,T50,해외채권형,EG110,연금저축,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class P2,2017.01.11,106,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.90%
AOUT,해외투자,T50,해외채권형,ED106EG115,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class Pe1,2017.08.03,238,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.45%
AOUT,해외투자,T50,해외채권형,EG110ED106,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class Pe2,2017.07.26,33,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.59%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class S,2014.04.23,10,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.55%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO글로벌투자등급자투자신탁[채권_재간접형](H)ClassC(F),2013.05.22,52,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.35%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class A,2011.06.22,175,해외채권형,글로벌채권,ABL글로벌자산운용,0.70%,0.90%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class C,2011.07.20,80,해외채권형,글로벌채권,ABL글로벌자산운용,없음,1.30%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class C(E),2011.07.29,66,해외채권형,글로벌채권,ABL글로벌자산운용,없음,1.10%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class C(W),2013.03.18,36,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.30%
AOUT,해외투자,T50,해외채권형,EG115,퇴직연금,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class P1,2018.02.01,26,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.65%
AOUT,해외투자,T50,해외채권형,EG110,연금저축,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class P2,2014.04.28,14,해외채권형,글로벌채권,ABL글로벌자산운용,없음,1.28%
AOUT,해외투자,T50,해외채권형,ED106EG115,NA,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)Class Pe1,2017.08.03,29,해외채권형,글로벌채권,ABL글로벌자산운용,없음,0.47%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,ABLPIMCO분산투자증권자투자신탁[채권_재간접형](H)ClassA(E),2019.01.23,40,해외채권형,글로벌채권,ABL글로벌자산운용,0.35%,0.60%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class A,2010.06.29,190,해외채권형,북미채권,ABL글로벌자산운용,0.70%,0.85%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class C,2010.06.22,319,해외채권형,북미채권,ABL글로벌자산운용,없음,1.25%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class C(E),2010.07.15,62,해외채권형,북미채권,ABL글로벌자산운용,없음,1.05%
AOUT,해외투자,T50,해외채권형,,NA,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class C(W),2010.07.09,39,해외채권형,북미채권,ABL글로벌자산운용,없음,0.25%
AOUT,해외투자,T50,해외채권형,EG110EG115,NA,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class P1,2011.02.09,72,해외채권형,북미채권,ABL글로벌자산운용,없음,0.60%
AOUT,해외투자,T50,해외채권형,EG110,연금저축,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class P2,2014.06.03,22,해외채권형,북미채권,ABL글로벌자산운용,없음,1.23%
AOUT,해외투자,T50,해외채권형,ED106EG115,NA,,NA,ABLPIMCO토탈리턴증권자투자신탁[채권_재간접형](H)Class Pe1,2017.08.18,150,해외채권형,북미채권,ABL글로벌자산운용,없음,0.42%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,ABL공모주10증권투자신탁[채권혼합]C,2015.05.29,43,절대수익추구형,채권알파,ABL글로벌자산운용,없음,0.75%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,ABL공모주10증권투자신탁[채권혼합]C(F),2015.06.17,19,절대수익추구형,채권알파,ABL글로벌자산운용,없음,0.31%
AIN,국내투자,T23,절대수익추구형,EG110,연금저축,,NA,ABL공모주10증권투자신탁[채권혼합]P2,2015.05.29,15,절대수익추구형,채권알파,ABL글로벌자산운용,없음,0.55%
AIN,국내투자,T11,MMF,,NA,,NA,ABL국공채법인MMFClass I,2018.10.19,"6,329",MMF,MMF,ABL글로벌자산운용,없음,0.10%
AOUT,해외투자,T60,해외주식형,EN119EN106,NA,,NA,ABL글로벌에코테크증권투자신탁[주식]Class A,2007.03.06,42,해외주식형,에너지섹터,ABL글로벌자산운용,1.00%,1.60%
AOUT,해외투자,T60,해외주식형,EW102,글로벌신흥국,,NA,ABL글로벌이머징증권자투자신탁[주식] Class C(V),2007.09.19,51,해외주식형,글로벌신흥국주식,ABL글로벌자산운용,없음,0.98%
AIN,국내투자,T20,국내주식형,EN106,SRI,,NA,ABL기업가치향상장기증권자투자신탁[주식] Class C5,2006.08.18,236,주식형,일반주식,ABL글로벌자산운용,없음,1.70%
AIN,국내투자,T20,국내주식형,ED106EN106,NA,,NA,ABL기업가치향상장기증권자투자신탁[주식] Class E,2007.12.14,30,주식형,일반주식,ABL글로벌자산운용,없음,1.68%
AIN,국내투자,T20,국내주식형,EN106,SRI,,NA,ABL기업가치향상장기증권자투자신탁[주식]ClassA,2006.08.18,427,주식형,일반주식,ABL글로벌자산운용,1.00%,1.66%
AOUT,해외투자,T60,해외주식형,EW120,브릭스,,NA,ABL브릭스증권자투자신탁[주식]Class A,2007.11.19,46,해외주식형,글로벌신흥국주식,ABL글로벌자산운용,1.20%,1.98%
AOUT,해외투자,T60,해외주식형,EW120,브릭스,,NA,ABL브릭스증권자투자신탁[주식]Class C(F),2007.11.19,19,해외주식형,글로벌신흥국주식,ABL글로벌자산운용,없음,1.03%
AOUT,해외투자,T60,해외주식형,EW120,브릭스,,NA,ABL브릭스증권자투자신탁[주식]Class C5,2007.11.19,28,해외주식형,글로벌신흥국주식,ABL글로벌자산운용,없음,2.08%
AOUT,해외투자,T60,해외주식형,EW120,브릭스,,NA,ABL브릭스증권자투자신탁[주식]Class W,2009.11.19,15,해외주식형,글로벌신흥국주식,ABL글로벌자산운용,없음,0.98%
AOUT,해외투자,T61,해외주식혼합형,EN125,분배식,,NA,ABL알리안츠월지급인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)Class A,2013.09.24,209,해외주식혼합형,북미주식혼합,ABL글로벌자산운용,1.00%,0.90%
AOUT,해외투자,T60,해외주식형,,NA,,NA,ABL알리안츠유럽배당증권자투자신탁[주식_재간접형](H) Class A,2014.08.26,64,해외주식형,유럽주식,ABL글로벌자산운용,1.00%,1.00%
AOUT,해외투자,T60,해외주식형,,NA,,NA,ABL알리안츠유럽배당증권자투자신탁[주식_재간접형](H) Class C,2014.08.26,14,해외주식형,유럽주식,ABL글로벌자산운용,없음,1.15%
AOUT,해외투자,T60,해외주식형,EG115,퇴직연금,,NA,ABL알리안츠유럽배당증권자투자신탁[주식_재간접형](H) Class P1,2015.03.17,14,해외주식형,유럽주식,ABL글로벌자산운용,없음,0.65%
AOUT,해외투자,T60,해외주식형,EG110,연금저축,,NA,ABL알리안츠유럽배당증권자투자신탁[주식_재간접형](H) Class P2,2014.09.17,26,해외주식형,유럽주식,ABL글로벌자산운용,없음,0.75%
AOUT,해외투자,T61,해외주식혼합형,,NA,,NA,ABL알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)Class C,2013.09.24,12,해외주식혼합형,북미주식혼합,ABL글로벌자산운용,없음,1.15%
AOUT,해외투자,T61,해외주식혼합형,,NA,,NA,ABL알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)Class C(W),2014.07.17,26,해외주식혼합형,북미주식혼합,ABL글로벌자산운용,없음,0.15%
AOUT,해외투자,T61,해외주식혼합형,EG110,연금저축,,NA,ABL알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)Class P2,2014.04.28,30,해외주식혼합형,북미주식혼합,ABL글로벌자산운용,없음,0.95%
AOUT,해외투자,T61,해외주식혼합형,,NA,,NA,ABL알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)ClassA,2013.09.24,30,해외주식혼합형,북미주식혼합,ABL글로벌자산운용,1.00%,0.90%
AIN,국내투자,T20,국내주식형,EN106,SRI,,NA,ABL액티브SRI증권자투자신탁[주식] Class A,2008.10.29,41,주식형,일반주식,ABL글로벌자산운용,0.50%,1.00%
AIN,국내투자,T20,국내주식형,EN106,SRI,,NA,ABL액티브SRI증권자투자신탁[주식] Class C,2008.10.29,32,주식형,일반주식,ABL글로벌자산운용,없음,1.50%
AIN,국내투자,T10,국내채권형,,NA,,NA,ABL이지스증권자투자신탁[채권] Class C(V),2007.10.04,533,채권형,일반채권,ABL글로벌자산운용,없음,0.18%
AOUT,해외투자,T60,해외주식형,,NA,,NA,ABL중국가치주증권자투자신탁[주식]ClassC(F),2018.06.01,20,해외주식형,중국주식,ABL글로벌자산운용,없음,0.77%
AOUT,해외투자,T62,해외채권혼합형,EW102EG115,NA,,NA,ABL퇴직연금글로벌이머징40증권자투자신탁[채권혼합],2008.06.30,17,해외채권혼합형,신흥국채권혼합,ABL글로벌자산운용,없음,1.15%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형A,2009.06.30,"1,380",해외채권형,글로벌하이일드채권,AB자산운용,0.75%,0.67%
AOUT,해외투자,T50,해외채권형,EG110ED106,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Ae,2014.04.11,199,해외채권형,글로벌하이일드채권,AB자산운용,0.38%,0.42%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형C,2009.06.30,992,해외채권형,글로벌하이일드채권,AB자산운용,없음,1.17%
AOUT,해외투자,T50,해외채권형,EG110,연금저축,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형C-P,2013.04.10,717,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.77%
AOUT,해외투자,T50,해외채권형,EG115,퇴직연금,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형C-P2,2016.01.20,548,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.67%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형C-w,2015.05.21,34,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.17%
AOUT,해외투자,T50,해외채권형,ED106,인터넷전용,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Ce,2014.04.16,215,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.67%
AOUT,해외투자,T50,해외채권형,EG110ED106,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Ce-P,2017.08.02,70,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.47%
AOUT,해외투자,T50,해외채권형,ED106EG115,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Ce-P2,2017.08.07,119,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.42%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형S,2014.04.23,30,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.42%
AOUT,해외투자,T50,해외채권형,EG110,연금저축,,NA,AB글로벌고수익증권투자신탁(채권-재간접형)종류형Sp,2014.04.30,22,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.35%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB글로벌로우볼증권투자신탁(주식-재간접형)A,2016.04.18,380,해외주식형,글로벌주식,AB자산운용,1.00%,0.92%
AOUT,해외투자,T60,해외주식형,ED106,인터넷전용,,NA,AB글로벌로우볼증권투자신탁(주식-재간접형)A-e,2016.04.18,13,해외주식형,글로벌주식,AB자산운용,0.50%,0.57%
AOUT,해외투자,T60,해외주식형,ED106,인터넷전용,,NA,AB글로벌로우볼증권투자신탁(주식-재간접형)C-e,2016.04.18,11,해외주식형,글로벌주식,AB자산운용,없음,0.77%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB글로벌로우볼증권투자신탁(주식-재간접형)C-w,2016.08.26,41,해외주식형,글로벌주식,AB자산운용,없음,0.27%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB글로벌플러스안정수익증권투자신탁(채권-재간접형)종류C-w,2017.02.20,10,해외채권형,글로벌채권,AB자산운용,없음,0.22%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형A,2010.03.29,"1,110",해외주식형,북미주식,AB자산운용,1.00%,0.97%
AOUT,해외투자,T60,해외주식형,ED106,인터넷전용,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형Ae,2014.04.14,259,해외주식형,북미주식,AB자산운용,0.50%,0.57%
AOUT,해외투자,T60,해외주식형,ED106,인터넷전용,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C-e,2010.03.29,211,해외주식형,북미주식,AB자산운용,없음,1.16%
AOUT,해외투자,T60,해외주식형,EG110,연금저축,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C-P,2013.04.10,318,해외주식형,북미주식,AB자산운용,없음,1.02%
AOUT,해외투자,T60,해외주식형,EG115,퇴직연금,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C-P2,2015.07.13,394,해외주식형,북미주식,AB자산운용,없음,0.87%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C-w,2015.07.03,233,해외주식형,북미주식,AB자산운용,없음,0.17%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C1,2010.03.29,65,해외주식형,북미주식,AB자산운용,없음,1.67%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C2,2010.03.29,154,해외주식형,북미주식,AB자산운용,없음,1.42%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C3,2010.03.29,44,해외주식형,북미주식,AB자산운용,없음,1.16%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형C4,2010.03.29,32,해외주식형,북미주식,AB자산운용,없음,0.97%
AOUT,해외투자,T60,해외주식형,EG110ED106,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형Ce-P,2017.08.02,136,해외주식형,북미주식,AB자산운용,없음,0.57%
AOUT,해외투자,T60,해외주식형,ED106EG115,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형Ce-P2,2017.08.04,389,해외주식형,북미주식,AB자산운용,없음,0.52%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형S,2014.04.29,152,해외주식형,북미주식,AB자산운용,없음,0.42%
AOUT,해외투자,T60,해외주식형,EG110,연금저축,,NA,AB미국그로스증권투자신탁(주식-재간접형)종류형Sp,2014.05.14,112,해외주식형,북미주식,AB자산운용,없음,0.37%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB미국인컴증권투자신탁(채권-재간접형)종류A,2019.08.26,271,해외채권형,북미채권,AB자산운용,0.75%,0.67%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB미국인컴증권투자신탁(채권-재간접형)종류C,2019.08.26,114,해외채권형,북미채권,AB자산운용,없음,1.17%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB셀렉트미국증권투자신탁(주식-재간접형)종류A,2013.02.04,77,해외주식형,북미주식,AB자산운용,1.00%,0.92%
AOUT,해외투자,T60,해외주식형,EG115,퇴직연금,,NA,AB셀렉트미국증권투자신탁(주식-재간접형)종류C-P2,2017.01.19,566,해외주식형,북미주식,AB자산운용,없음,0.97%
AOUT,해외투자,T60,해외주식형,,NA,,NA,AB셀렉트미국증권투자신탁(주식-재간접형)종류C3,2013.02.04,27,해외주식형,북미주식,AB자산운용,없음,1.17%
AOUT,해외투자,T50,해외채권형,EN125,분배식,,NA,AB월지급글로벌고수익증권투자신탁[채권-재간접형]종류A,2010.12.09,"2,625",해외채권형,글로벌하이일드채권,AB자산운용,1.00%,0.72%
AOUT,해외투자,T50,해외채권형,ED106EN125,NA,,NA,AB월지급글로벌고수익증권투자신탁[채권-재간접형]종류Ae,2014.04.17,207,해외채권형,글로벌하이일드채권,AB자산운용,0.50%,0.44%
AOUT,해외투자,T50,해외채권형,EN125,분배식,,NA,AB월지급글로벌고수익증권투자신탁[채권-재간접형]종류C-w,2017.08.10,21,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.17%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB위안화플러스증권자투자신탁(채권-재간접형)종류A,2013.12.02,20,해외채권형,아시아채권(ex J),AB자산운용,0.75%,0.77%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB유럽증권투자신탁(채권-재간접형)종류A,2012.07.17,21,해외채권형,유럽채권,AB자산운용,0.75%,0.82%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB유럽증권투자신탁(채권-재간접형)종류I,2015.06.03,100,해외채권형,글로벌채권,AB자산운용,없음,0.25%
AOUT,해외투자,T61,해외주식혼합형,EW102,글로벌신흥국,,NA,AB이머징마켓멀티에셋증권투자신탁(주식혼합-재간접형)종류C-w,2018.04.12,10,해외주식혼합형,신흥국주식혼합,AB자산운용,없음,0.27%
AOUT,해외투자,T50,해외채권형,EW102,글로벌신흥국,,NA,AB이머징마켓증권투자신탁[채권-재간접형]ClassC,2010.11.03,11,해외채권형,신흥국채권,AB자산운용,없음,1.17%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB퀄리티고수익증권투자신탁(채권-재간접형)종류A,2012.04.02,74,해외채권형,글로벌하이일드채권,AB자산운용,0.75%,0.82%
AOUT,해외투자,T50,해외채권형,,NA,,NA,AB퀄리티고수익증권투자신탁(채권-재간접형)종류I,2016.12.14,200,해외채권형,글로벌하이일드채권,AB자산운용,없음,0.25%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNKBraveNewKOREA증권투자신탁 1(주식)ClassC-f,2018.06.11,20,주식형,일반주식,BNK자산운용,없음,0.72%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNKK200인덱스증권투자신탁(주식-파생형)ClassA,2019.02.25,29,주식형,K200인덱스,BNK자산운용,1.00%,0.35%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNKK200인덱스증권투자신탁(주식-파생형)ClassC-F,2019.02.25,105,주식형,K200인덱스,BNK자산운용,없음,0.17%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNKKOSDAQ150분할매수목표전환형증권투자신탁 1(혼합-재간접형)ClassA,2018.02.12,80,주식형,기타인덱스,BNK자산운용,1.00%,0.83%
AIN,국내투자,T21,국내주식혼합형,,NA,,NA,BNKKOSPI200분할매수증권투자신탁 1(주식혼합-재간접형)ClassA,2017.07.17,174,주식혼합형,공격적자산배분,BNK자산운용,0.80%,0.84%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,BNK공모주플러스10증권투자신탁 1(채권혼합) Class C,2015.08.07,128,절대수익추구형,채권알파,BNK자산운용,없음,1.00%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,BNK공모주플러스10증권투자신탁 1(채권혼합) ClassA,2015.08.07,141,절대수익추구형,채권알파,BNK자산운용,0.50%,0.70%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,BNK공모주플러스10증권투자신탁 1(채권혼합)ClassC-f,2018.12.03,20,절대수익추구형,채권알파,BNK자산운용,없음,0.33%
AIN,국내투자,T23,절대수익추구형,,NA,,NA,BNK공모주플러스10증권투자신탁 1(채권혼합)ClassC-w,2016.03.29,19,절대수익추구형,채권알파,BNK자산운용,없음,0.30%
AOUT,해외투자,T62,해외채권혼합형,,NA,,NA,BNK글로벌AI증권자투자신탁H(채권혼합-재간접형)ClassC-f,2018.07.02,20,해외채권혼합형,글로벌 보수적자산배분,BNK자산운용,없음,0.58%
AIN,국내투자,T11,MMF,,NA,,NA,BNK법인MMF 1,2008.09.30,47,MMF,MMF,BNK자산운용,없음,0.12%
AIN,국내투자,T11,MMF,,NA,,NA,BNK법인MMF 1(국공채),2015.09.02,"15,499",MMF,MMF,BNK자산운용,없음,0.10%
AIN,국내투자,T29,국내기타,,NA,,NA,BNK스팩플러스30증권투자신탁 1(채권혼합)ClassA,2015.09.04,237,기타,장기미분류,BNK자산운용,0.80%,0.90%
AIN,국내투자,T29,국내기타,,NA,,NA,BNK스팩플러스30증권투자신탁 1(채권혼합)ClassC,2015.09.04,323,기타,장기미분류,BNK자산운용,없음,1.50%
AIN,국내투자,T22,국내채권혼합형,,NA,,NA,BNK은퇴디자인배당솔루션증권자투자신탁 1(채권혼합)ClassA,2016.12.28,26,채권혼합형,일반채권혼합,BNK자산운용,0.30%,0.64%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK이기는목표전환형증권투자신탁 1(주식혼합)ClassA,2018.03.23,28,주식형,중소형주식,BNK자산운용,1.00%,1.09%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK이기는목표전환형증권투자신탁 2(주식혼합)ClassA,2018.06.29,25,주식형,중소형주식,BNK자산운용,1.00%,1.09%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK이기는증권투자신탁 1(주식)ClassA,2018.02.05,222,주식형,일반주식,BNK자산운용,1.00%,1.20%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK이기는증권투자신탁 1(주식)ClassC,2018.02.05,10,주식형,일반주식,BNK자산운용,없음,1.70%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK이기는증권투자신탁 1(주식)ClassC-f,2018.02.05,94,주식형,일반주식,BNK자산운용,없음,0.74%
AIN,국내투자,T11,MMF,,NA,,NA,BNK튼튼개인MMF 1ClassC,2014.12.15,"7,599",MMF,MMF,BNK자산운용,없음,0.40%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기국공채증권투자신탁 1(채권)ClassA,2016.03.16,180,채권형,우량채권,BNK자산운용,0.20%,0.28%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기국공채증권투자신탁 1(채권)ClassC,2015.10.15,370,채권형,우량채권,BNK자산운용,없음,0.38%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기국공채증권투자신탁 1(채권)ClassC-f,2015.10.08,494,채권형,우량채권,BNK자산운용,없음,0.15%
AIN,국내투자,T10,국내채권형,EG115,퇴직연금,,NA,BNK튼튼단기국공채증권투자신탁 1(채권)ClassC-P2,2018.07.19,21,채권형,우량채권,BNK자산운용,없음,0.31%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기채증권투자신탁(채권)ClassC,2019.04.15,369,채권형,일반채권,BNK자산운용,없음,0.30%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기채증권투자신탁(채권)ClassC-F,2019.04.15,200,채권형,일반채권,BNK자산운용,없음,0.13%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기채증권투자신탁(채권)ClassC-I,2019.09.26,500,채권형,일반채권,BNK자산운용,없음,0.10%
AIN,국내투자,T10,국내채권형,,NA,,NA,BNK튼튼단기채증권투자신탁(채권)ClassC-W,2019.04.24,"1,120",채권형,일반채권,BNK자산운용,없음,0.10%
AIN,국내투자,T22,국내채권혼합형,,NA,,NA,BNK튼튼배당10증권자투자신탁 1(채권혼합) Class A,2015.01.14,19,채권혼합형,일반채권혼합,BNK자산운용,0.50%,0.89%
AIN,국내투자,T22,국내채권혼합형,,NA,,NA,BNK튼튼배당30증권자투자신탁 1(채권혼합) Class A,2015.01.14,25,채권혼합형,일반채권혼합,BNK자산운용,0.50%,1.04%
AIN,국내투자,T22,국내채권혼합형,EG115,퇴직연금,,NA,BNK튼튼배당30증권자투자신탁 1(채권혼합)ClassC-P2,2015.03.16,15,채권혼합형,일반채권혼합,BNK자산운용,없음,1.04%
AIN,국내투자,T20,국내주식형,EG115,퇴직연금,,NA,BNK튼튼배당증권자투자신탁 1(주식) Class C-P2,2013.12.24,34,주식형,배당주식,BNK자산운용,없음,1.20%
AIN,국내투자,T20,국내주식형,,NA,,NA,BNK튼튼배당증권자투자신탁 1(주식)Class C-i,2014.01.27,53,주식형,배당주식,BNK자산운용,없음,0.60%
